Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Starlink-2640;USA;USA;SpaceX;Commercial;Communications
Starlink-2641;USA;USA;SpaceX;Commercial;Communications
Starlink-2642;USA;USA;SpaceX;Commercial;Communications
Starlink-2643;USA;USA;SpaceX;Commercial;Communications
Starlink-2644;USA;USA;SpaceX;Commercial;Communications
Starlink-2645;USA;USA;SpaceX;Commercial;Communications
Starlink-2646;USA;USA;SpaceX;Commercial;Communications
Starlink-2647;USA;USA;SpaceX;Commercial;Communications
Starlink-2648;USA;USA;SpaceX;Commercial;Communications
Starlink-2649;USA;USA;SpaceX;Commercial;Communications
Starlink-2651;USA;USA;SpaceX;Commercial;Communications
Starlink-2652;USA;USA;SpaceX;Commercial;Communications
Starlink-2653;USA;USA;SpaceX;Commercial;Communications
Starlink-2654;USA;USA;SpaceX;Commercial;Communications
Starlink-2655;USA;USA;SpaceX;Commercial;Communications
Starlink-2657;USA;USA;SpaceX;Commercial;Communications
Starlink-2658;USA;USA;SpaceX;Commercial;Communications
Starlink-2659;USA;USA;SpaceX;Commercial;Communications
Starlink-2661;USA;USA;SpaceX;Commercial;Communications
Starlink-2666;USA;USA;SpaceX;Commercial;Communications
Starlink-2667;USA;USA;SpaceX;Commercial;Communications
Starlink-2672;USA;USA;SpaceX;Commercial;Communications
Starlink-2673;USA;USA;SpaceX;Commercial;Communications
Starlink-2674;USA;USA;SpaceX;Commercial;Communications
Starlink-2675;USA;USA;SpaceX;Commercial;Communications
Starlink-2680;USA;USA;SpaceX;Commercial;Communications
Starlink-2681;USA;USA;SpaceX;Commercial;Communications
Starlink-2682;USA;USA;SpaceX;Commercial;Communications
Starlink-2683;USA;USA;SpaceX;Commercial;Communications
Starlink-2684;USA;USA;SpaceX;Commercial;Communications
Starlink-2685;USA;USA;SpaceX;Commercial;Communications
Starlink-2686;USA;USA;SpaceX;Commercial;Communications
Starlink-2687;USA;USA;SpaceX;Commercial;Communications
Starlink-2688;USA;USA;SpaceX;Commercial;Communications
Starlink-2689;USA;USA;SpaceX;Commercial;Communications
Starlink-2690;USA;USA;SpaceX;Commercial;Communications
Starlink-2691;USA;USA;SpaceX;Commercial;Communications
Starlink-2692;USA;USA;SpaceX;Commercial;Communications
Starlink-2693;USA;USA;SpaceX;Commercial;Communications
Starlink-2695;USA;USA;SpaceX;Commercial;Communications
Starlink-2696;USA;USA;SpaceX;Commercial;Communications
Starlink-2697;USA;USA;SpaceX;Commercial;Communications
Starlink-2698;USA;USA;SpaceX;Commercial;Communications
Starlink-2699;USA;USA;SpaceX;Commercial;Communications
Starlink-2700;USA;USA;SpaceX;Commercial;Communications
Starlink-2701;USA;USA;SpaceX;Commercial;Communications
Starlink-2702;USA;USA;SpaceX;Commercial;Communications
Starlink-2703;USA;USA;SpaceX;Commercial;Communications
Starlink-2704;USA;USA;SpaceX;Commercial;Communications
Starlink-2705;USA;USA;SpaceX;Commercial;Communications
Starlink-2706;USA;USA;SpaceX;Commercial;Communications
Starlink-2707;USA;USA;SpaceX;Commercial;Communications
Starlink-2708;USA;USA;SpaceX;Commercial;Communications
Starlink-2709;USA;USA;SpaceX;Commercial;Communications
Starlink-2711;USA;USA;SpaceX;Commercial;Communications
Starlink-2712;USA;USA;SpaceX;Commercial;Communications
Starlink-2714;USA;USA;SpaceX;Commercial;Communications
Starlink-2715;USA;USA;SpaceX;Commercial;Communications
Starlink-2717;USA;USA;SpaceX;Commercial;Communications
Starlink-2719;USA;USA;SpaceX;Commercial;Communications
Starlink-2720;USA;USA;SpaceX;Commercial;Communications
Starlink-2722;USA;USA;SpaceX;Commercial;Communications
Starlink-2723;USA;USA;SpaceX;Commercial;Communications
Starlink-2725;USA;USA;SpaceX;Commercial;Communications
Starlink-2726;USA;USA;SpaceX;Commercial;Communications
Starlink-2727;USA;USA;SpaceX;Commercial;Communications
Starlink-2728;USA;USA;SpaceX;Commercial;Communications
Starlink-2729;USA;USA;SpaceX;Commercial;Communications
Starlink-2731;USA;USA;SpaceX;Commercial;Communications
Starlink-2732;USA;USA;SpaceX;Commercial;Communications
Starlink-2733;USA;USA;SpaceX;Commercial;Communications
Starlink-2734;USA;USA;SpaceX;Commercial;Communications
Starlink-2735;USA;USA;SpaceX;Commercial;Communications
Starlink-2736;USA;USA;SpaceX;Commercial;Communications
Starlink-2737;USA;USA;SpaceX;Commercial;Communications
Starlink-2738;USA;USA;SpaceX;Commercial;Communications
Starlink-2739;USA;USA;SpaceX;Commercial;Communications
Starlink-2740;USA;USA;SpaceX;Commercial;Communications
Starlink-2741;USA;USA;SpaceX;Commercial;Communications
Starlink-2742;USA;USA;SpaceX;Commercial;Communications
Starlink-2743;USA;USA;SpaceX;Commercial;Communications
Starlink-2745;USA;USA;SpaceX;Commercial;Communications
Starlink-2746;USA;USA;SpaceX;Commercial;Communications
Starlink-2748;USA;USA;SpaceX;Commercial;Communications
Starlink-2749;USA;USA;SpaceX;Commercial;Communications
Starlink-2750;USA;USA;SpaceX;Commercial;Communications
Starlink-2751;USA;USA;SpaceX;Commercial;Communications
Starlink-2752;USA;USA;SpaceX;Commercial;Communications
Starlink-2753;USA;USA;SpaceX;Commercial;Communications
Starlink-2754;USA;USA;SpaceX;Commercial;Communications
Starlink-2755;USA;USA;SpaceX;Commercial;Communications
Starlink-2756;USA;USA;SpaceX;Commercial;Communications
Starlink-2757;USA;USA;SpaceX;Commercial;Communications
Starlink-2758;USA;USA;SpaceX;Commercial;Communications
Starlink-2763;USA;USA;SpaceX;Commercial;Communications
Starlink-3003;USA;USA;SpaceX;Commercial;Communications
Starlink-3004;USA;USA;SpaceX;Commercial;Communications
Starlink-3005;USA;USA;SpaceX;Commercial;Communications
Starlink-3042 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3043 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3044 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3045 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3046 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3047 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3048 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3049 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3050 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3051 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3052 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3053 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3054 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3055 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3056 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3057 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3058 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3059 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3060 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3068 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3069 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3071 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3072 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3073 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3074 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3075 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3077 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3078 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3079 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3080 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3081 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3082 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3083 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3084 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3085 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3086 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3087 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3088 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3089 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3090 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3091 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3093 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3095 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3096 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3097 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3098 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3099 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3100 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3101 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3102 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3103 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3104 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3105 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3106 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3107 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3108 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3109 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3110 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3111 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3112 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3113 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3114 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3115 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3116 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3117 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3118 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3119 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3120 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3121 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3122 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3124 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3125 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3126 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3127 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3128 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3129 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3130 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3131 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3132 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3133 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3134 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3135 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3136 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3137 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3138 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3139 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3140 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3141 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3143 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3144 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3145 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3146 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3147 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3148 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3149 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3150 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3151 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3153 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3154 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3155 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3156 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3157 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3158 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3159 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3160 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3161 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3162 ;USA;USA;SpaceX;Commercial;Communications
Starlink-3165 ;;USA;SpaceX;Commercial;Communications
Starlink-3166 ;;USA;SpaceX;Commercial;Communications
Starlink-3167 ;;USA;SpaceX;Commercial;Communications
Starlink-3172 ;;USA;SpaceX;Commercial;Communications
Starlink-3173 ;;USA;SpaceX;Commercial;Communications
Starlink-3174 ;;USA;SpaceX;Commercial;Communications
Starlink-3175 ;;USA;SpaceX;Commercial;Communications
Starlink-3176 ;;USA;SpaceX;Commercial;Communications
Starlink-3177 ;;USA;SpaceX;Commercial;Communications
Starlink-3178 ;;USA;SpaceX;Commercial;Communications
Starlink-3179 ;;USA;SpaceX;Commercial;Communications
Starlink-3180 ;;USA;SpaceX;Commercial;Communications
Starlink-3181 ;;USA;SpaceX;Commercial;Communications
Starlink-3182 ;;USA;SpaceX;Commercial;Communications
Starlink-3183 ;;USA;SpaceX;Commercial;Communications
Starlink-3184 ;;USA;SpaceX;Commercial;Communications
Starlink-3185 ;;USA;SpaceX;Commercial;Communications
Starlink-3189 ;;USA;SpaceX;Commercial;Communications
Starlink-3190 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3191 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3192 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3193 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3194 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3195 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3196 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3197 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3198 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3199 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3200 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3201 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3202 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3203 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3204 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3206 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3207 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3208 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3209 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3210 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3218 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3219 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3225 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3226 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3227 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3228 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3229 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3230 ;;USA;SpaceX;Commercial;Communications
Starlink-3231 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3232 ;;USA;SpaceX;Commercial;Communications
Starlink-3233 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3234 ;;USA;SpaceX;Commercial;Communications
Starlink-3235 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3236 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3237 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3238 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3239 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3240 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3241 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3242 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3243 ;;USA;SpaceX;Commercial;Communications
Starlink-3244 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3245 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3246 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3247 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3248 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3249 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3250 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3251 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3252 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3253 ;;USA;SpaceX;Commercial;Communications
Starlink-3254 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3255 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3256 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3257 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3258 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3259 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3260 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3261 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3262 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3263 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3264 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3265 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3266 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3267 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3268 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3269 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3270 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3271 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3272 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3273 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3274 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3275 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3276 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3277 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3278 ;;USA;SpaceX;Commercial;Communications
Starlink-3279 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3281 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3282 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3283 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3284 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3285 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3286 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3287 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3288 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3289 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3290 ;;USA;SpaceX;Commercial;Communications
Starlink-3291 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3292 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3293 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3294 ;;USA;SpaceX;Commercial;Communications
Starlink-3295 ;;USA;SpaceX;Commercial;Communications
Starlink-3296 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3297 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3298 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3299 ;;USA;SpaceX;Commercial;Communications
Starlink-3300 ;;USA;SpaceX;Commercial;Communications
Starlink-3301 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3302 ;;USA;SpaceX;Commercial;Communications
Starlink-3303 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3304 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3305 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3306 ;NR (1/22);USA;SpaceX;Commercial;Communications
Starlink-3307 ;NR (1/22);USA;SpaceX;Commercial;Communications
